87,24161
87,38956
87,36888
87,97016
88,64059
88,82133
88,29545
88,52571
88,59686
88,31723
88,51450
88,46659
88,47609
88,11548
89,22151
89,70757
89,18356
89,11973
89,24686
89,58638
89,58346
89,71781
89,60260
89,20337
90,47780
90,92656
90,92608
90,5451
90,70256
90,23704
90,47457
90,13946
90,13254
90,50728
91,9281
91,1220
91,21604
91,23046
91,57170
91,40208
91,17894
91,26436
91,26385
91,23859
92,41010
92,11898
92,79002
92,34605
92,59605
92,45306
92,34473
92,72990
92,898
92,3607
93,60322
93,11250
93,36184
93,95030
93,62453
93,30816
93,12464
93,77775
93,93167
93,23040
94,61444
94,58558
94,27709
94,42406
94,27289
94,57730
94,22470
94,19572
94,13246
94,25918
95,451
95,41621
95,52607
95,65696
95,9376
95,67104
95,84601
95,36025
95,44370
95,48309
96,15599
96,2574
96,22022
96,22197
96,63999
96,83342
96,13943
96,8521
96,74640
96,98325
97,47880
97,34106
97,44014
97,12609
97,52034
97,57819
97,55243
97,18977
97,87651
97,24507
98,11212
98,47188
98,1370
98,43114
98,74456
98,75666
98,74651
98,37828
98,23315
98,45095
99,5151
99,56497
99,78614
99,98797
99,7456
99,11547
99,28652
99,34643
99,36555
99,31542
100,58917
100,52211
100,89257
100,3306
100,7053
100,52470
100,35929
100,31543
100,90468
100,67375
101,52182
101,69737
101,77582
101,71070
101,98083
101,93357
101,63790
101,97823
101,91289
101,77779
102,4605
102,28825
102,45104
102,40103
102,24377
102,14971
102,5237
102,51185
102,88047
102,85114
103,83515
103,86840
103,83167
103,6563
103,77683
103,73585
103,17124
103,17874
103,79245
103,95214
104,53527
104,92882
104,32529
104,70523
104,41981
104,91489
104,76986
104,30132
104,97078
104,74477
105,60844
105,52436
105,87855
105,5988
105,84793
105,45935
105,37683
105,47382
105,55880
105,67784
106,60396
106,99202
106,10008
106,85411
106,71784
106,1852
106,84383
106,9228
106,56526
106,91394
107,40183
107,52159
107,43497
107,18738
107,5067
107,29079
107,38418
107,80401
107,53369
107,7866
108,25587
108,27781
108,59243
108,40134
108,20175
108,19629
108,36565
108,10836
108,47122
108,49131
109,51648
109,21487
109,15484
109,76758
109,90006
109,87438
109,78281
109,67178
109,68544
109,88779
110,42353
110,80980
110,66485
110,23440
110,24250
110,15982
110,91703
110,92861
110,10118
110,72573
111,14760
111,18949
111,27781
111,18331
111,43495
111,34343
111,14051
111,43926
111,66333
111,16346
112,71287
112,5800
112,51538
112,57244
112,5775
112,94363
112,59278
112,19860
112,92618
112,56169
113,60869
113,57234
113,72817
113,33731
113,50702
113,40040
113,61359
113,78073
113,58384
113,37303
114,16365
114,97487
114,24040
114,78942
114,9282
114,3498
114,76571
114,47234
114,40057
114,35080
115,74544
115,30487
115,61321
115,80848
115,45594
115,80573
115,95769
115,84420
115,91520
115,9840
116,25797
116,28059
116,75972
116,7242
116,54232
116,6065
116,22684
116,27714
116,39314
116,44029
117,31723
117,86400
117,69130
117,17494
117,16706
117,57220
117,52571
117,29959
117,84764
117,71438
118,59204
118,94693
118,2887
118,64147
118,64772
118,33000
118,20835
118,76353
118,98397
118,94101
119,23883
119,33376
119,9853
119,15150
119,58677
119,57791
119,65990
119,10426
119,38234
119,65921
120,16432
120,91533
120,58139
120,61786
120,10013
120,27871
120,30532
120,59385
120,5650
120,39427
121,54405
121,68161
121,61091
121,53174
121,70680
121,9275
121,3458
121,56035
121,87018
121,44824
122,26586
122,20581
122,60303
122,81361
122,60416
122,87351
122,40607
122,16212
122,98003
122,7542
123,26744
123,65827
123,64523
123,88869
123,51829
123,29340
123,33853
123,41446
123,9752
123,67234
124,4372
124,43540
124,46479
124,7660
124,98817
124,2124
124,10365
124,27592
124,98631
124,73780
125,48545
125,53102
125,75407
125,1684
125,82201
125,65435
125,25146
125,58527
125,92417
125,37606
126,81561
126,41206
126,55594
126,72147
126,96851
126,27306
126,34718
126,83590
126,38898
126,78782
127,6014
127,51495
127,11788
127,21560
127,834
127,65768
127,68624
127,51695
127,85280
127,33816
128,90205
128,32289
128,182
128,97700
128,96287
128,36838
128,38406
128,11502
128,5086
128,62859
129,86046
129,55352
129,73490
129,73959
129,2379
129,67874
129,92500
129,96234
129,10231
129,88086
130,35235
130,45108
130,27726
130,72727
130,9426
130,21820
130,21752
130,27103
130,10464
130,13783
131,23935
131,63554
131,65950
131,78996
131,92036
131,7402
131,16835
131,49957
131,67755
131,35269
132,90911
132,69499
132,55348
132,2472
132,13204
132,70644
132,23826
132,98899
132,45913
132,2973
133,68154
133,90815
133,34609
133,34478
133,2103
133,35723
133,84333
133,31705
133,87299
133,58847
134,57900
134,86840
134,350
134,6109
134,4935
134,59746
134,81828
134,96335
134,42320
134,86784
135,98377
135,58675
135,93130
135,50307
135,74456
135,10603
135,69283
135,68878
135,81636
135,52873
136,68834
136,96564
136,34861
136,68827
136,58287
136,58713
136,51587
136,70006
136,10837
136,63181
137,66173
137,83669
137,14318
137,99258
137,58941
137,3815
